irz,beta_s,beta_d,T_d
43.0,-2.936431150146234,1.5469370789364332,21.536482066532123
44.0,-2.9313103486802348,1.6171184885869208,18.160846867026386
45.0,-3.0008549277089287,1.6036261606217956,20.41694041555998
46.0,-3.0399096695036687,1.5045990072892672,21.57558263591079
47.0,-3.0750624798243984,1.551031843886115,21.712789181619506
48.0,-3.035169165221337,1.5108432447377251,22.87050567251474
49.0,-2.9121083649365254,1.5381334208309903,21.192589794332292
50.0,-2.897804968480849,1.5844559605142265,19.80119465425868
51.0,-3.035031544550246,1.643853190844689,16.82050152676285
52.0,-2.9802217757493352,1.548946926899987,20.809478085379844
53.0,-2.9531583035043707,1.557901930354498,20.992892350251957
54.0,-3.1346530245989865,1.5427587130889449,21.253598193005605
55.0,-3.0925339868180473,1.6005027290318807,18.63865987453282
56.0,-2.875566309608872,1.5677254838265475,20.39712231818321
57.0,-3.003890225929581,1.53426931060295,21.118562635184155
58.0,-2.878244919986836,1.586556853033616,18.375978098782245
59.0,-2.955036731831745,1.5140842413113198,22.02651413792184
60.0,-3.0080619536318487,1.628414945011822,18.99974024035123
61.0,-3.0369915903293156,1.598185943038865,19.57563293491844
62.0,-3.021057426943163,1.5954603699094232,20.33402880643516
63.0,-2.9552413608358563,1.6211650419662753,17.86669715875735
64.0,-2.9149879069739635,1.5957841302488014,19.427892933684063
65.0,-2.933850095561033,1.5130996053517087,23.021128594362693
66.0,-2.999997976571435,1.583675078575791,21.379616045366337
67.0,-3.005939801548249,1.578902376881603,20.76857542008679
68.0,-3.140567543200334,1.5105412400963445,21.88604147633928
69.0,-2.8531693153261335,1.661543964473187,16.37013714435925
70.0,-2.9639796103865805,1.639436987572343,17.642148493297864
71.0,-2.9718390783925184,1.6027816828078942,18.02101343851382
72.0,-2.9665926950003403,1.6382701440621688,18.413802951179534
73.0,-2.945406388471829,1.5974780434610578,19.237141668962686
74.0,-3.0129459921100894,1.6163222911472488,19.194464636855905
75.0,-2.901390983286263,1.5695124204744908,19.194547938880195
76.0,-2.975785060188434,1.6018774249108259,18.364409255043803
77.0,-2.853883986685392,1.636716824964256,16.546295177886652
78.0,-2.914553611049952,1.5825431767272147,20.062025022872568
79.0,-2.9405550777233573,1.5542453983065578,20.63382213543423
80.0,-3.1067349860773583,1.570845007843817,20.56408043185077
81.0,-2.949806581364589,1.506030135083794,23.184163565769982
82.0,-2.850030229463761,1.5124263625217909,22.696995789214327
83.0,-2.9566940373461357,1.5147926386462616,23.172146494617856
84.0,-2.9017080589295405,1.6464334260481686,17.371428274307945
85.0,-3.054051424679656,1.514820131248235,21.224004966506953
