irz,beta_s,beta_d,T_d
116.0,-2.9963697358383214,1.5629742734608572,20.728527526595055
117.0,-2.983092437004479,1.5308272752503034,21.66878508684825
118.0,-2.9664011090581845,1.5379762882077288,22.543002662907544
119.0,-2.9383850008097667,1.4946361314761414,24.089381090168633
120.0,-3.0161064721005992,1.5849498291033965,19.464290640562243
121.0,-3.066378117602854,1.587336944410491,19.316578399508934
122.0,-2.8104624828807134,1.4963123235885547,23.25824561173012
123.0,-2.8781811043237253,1.4987479477148744,22.181410721134313
124.0,-3.0283531009072515,1.5620489652085905,20.96695376613281
125.0,-2.89535396412917,1.5615683248498566,20.93279418969978
126.0,-3.0394464975873463,1.4673549197196876,25.704237514531556
127.0,-3.142484547832475,1.5666877178215937,21.38315111843916
128.0,-2.750076118304998,1.5583430164924854,21.519222303701277
129.0,-2.8108698901294353,1.5812336406201617,18.685896106115496
130.0,-2.9922723758662566,1.63383990916153,18.7313352663221
131.0,-2.9088050197260196,1.5937393964609878,19.820758362680508
132.0,-3.079994828932558,1.5019110472813761,24.054851849635114
133.0,-3.106957029276881,1.5201957484703588,22.91480208438228
134.0,-2.841476787283778,1.5123442483439482,22.336958935341045
135.0,-3.0464689134862235,1.510752059575718,23.454988275326507
136.0,-2.963688661880943,1.659087116246139,17.04691900214282
137.0,-2.9058656363168955,1.5586707975054477,19.922022964508983
138.0,-2.9851212538657355,1.5685434179970505,20.57076328579611
139.0,-3.122286909508116,1.5336413253056502,22.109080795349826
140.0,-3.0437143879230804,1.5265073915246785,22.62510448279288
141.0,-2.8813144365414436,1.5805252142630286,20.2506493423939
142.0,-2.9217026336894127,1.5246597017707377,21.984047909772347
143.0,-3.0800130267321926,1.5423136389846759,21.497918018309154
144.0,-2.995806949138617,1.5382620696113616,22.461387534755865
145.0,-3.0333358973739637,1.493041746396884,23.176024790851265
146.0,-3.034770341806639,1.5446049592250297,20.992133943292124
147.0,-2.94467178433473,1.599283442643719,18.83013687593654
148.0,-3.004546660202908,1.5480350747623248,21.15973418537216
149.0,-2.82157743487745,1.6375753847428216,19.046232195798027
150.0,-2.8455218068894603,1.560381428641227,21.20105609438442
151.0,-2.9667403990977244,1.491737697774774,22.55915652812296
152.0,-2.9623480616550655,1.5276534748604136,21.268022050659784
153.0,-3.073624622506915,1.5615411217017012,21.04927594966673
154.0,-2.846958382720198,1.562430287763971,21.177851497234286
155.0,-3.1134859184908916,1.5306086413094253,22.08478122277016
156.0,-3.073255623092788,1.5909096671185428,19.880440163240728
157.0,-3.008207372972586,1.6013560518700798,19.92048126750403
158.0,-2.8793356850760756,1.5986005214185348,19.20309822783704
159.0,-2.916636720643068,1.5089822115254647,22.077835326734036
160.0,-3.059342809254467,1.5155447798398751,23.971894011917954
161.0,-3.044833909301883,1.587247200703723,20.955440983621465
162.0,-2.9241174545869684,1.5113802186905039,23.96213315870968
163.0,-2.954342035134593,1.5329910143842682,21.849733188704466
164.0,-3.0301743943593147,1.5554861635059347,21.439858094060526
165.0,-2.912179421998463,1.527606861786806,22.0642538433397
166.0,-2.9349105332738987,1.580171650745647,19.778955674836368
167.0,-2.824146853708651,1.5073123475165802,22.55926500337056
168.0,-2.987651158444087,1.5355375104172229,22.568725407885
169.0,-2.819634548464662,1.5100173030090298,21.968888275496298
